domain	crop	chosen_width	score_8192	score_10240	score_12288	score_14336	score_16384
math	124	12288	4.651461	3.676665	0.801177	2.811156	4.307448
math	125	12288	6.69873	4.277349	1.124882	2.084	4.741833
math	126	12288	6.939522	3.929858	0.995039	3.379762	5.874564
math	127	12288	3.329357	2.729471	0.430784	1.827529	3.558237
math	128	12288	4.259676	3.412084	0.624602	2.696538	4.028522
math	129	12288	3.570352	2.536492	0.443068	1.98798	3.639685
math	130	12288	5.50873	4.185123	0.754411	1.905052	3.042792
math	131	12288	6.447422	4.169528	0.998645	3.410031	5.668991
math	132	12288	5.531415	3.23332	0.792799	2.199745	4.347805
math	133	12288	5.21552	3.287764	0.659528	1.773433	3.367499
math	134	12288	2.290827	1.901175	0.224992	1.65233	3.487748
math	135	12288	6.574933	3.722832	0.640918	1.25022	2.19063
math	136	12288	1.737042	1.475231	0.233792	1.362974	3.148082
math	137	12288	6.46944	4.567185	1.320979	3.255817	5.19831
math	138	12288	3.548103	2.963297	0.480824	2.17734	3.964497
math	139	12288	6.026665	4.570846	1.333216	3.602944	5.507987
math	140	12288	5.857388	4.002853	0.724098	1.818406	3.358001
math	141	12288	6.788574	4.504248	0.828257	1.997485	4.362549
math	142	12288	4.796228	3.502046	0.644012	1.956112	3.499412
math	143	12288	3.56811	2.936795	0.541899	1.94243	3.61601
math	144	12288	1.48232	1.37983	0.139592	1.274059	3.15408
math	145	12288	6.23278	2.746229	0.483563	1.556182	4.016899
math	146	12288	4.203547	2.714126	0.421916	1.584274	3.994906
math	147	12288	1.546935	1.367856	0.239456	1.391963	3.210552
math	148	12288	3.741386	2.754747	0.588577	1.63024	3.188109
math	149	12288	3.087903	2.312343	0.345679	1.931907	3.618808
math	150	12288	5.438036	4.10294	1.310664	3.17654	4.584556
math	151	12288	1.980891	1.67263	0.16589	1.410755	3.027195
math	152	12288	2.648212	2.172693	0.535955	2.004796	3.363734
math	153	12288	5.329236	4.091309	0.863308	2.880328	3.750658
math	154	12288	3.116786	2.451971	0.406103	1.685199	3.295372
math	155	12288	5.928982	3.912454	0.588707	2.010551	4.125718
math	156	12288	6.792784	3.370481	0.550702	2.288893	3.349557
math	157	12288	2.343061	2.050908	0.241446	1.428384	3.403613
math	158	12288	5.412047	3.967777	0.842812	2.048568	3.209978
math	159	12288	1.298435	1.208701	0.211678	1.377694	3.141646
math	160	12288	12.336035	0.829094	0.30717	0.505304	0.566114
math	161	12288	6.182019	4.036929	0.961001	2.051949	4.508113
math	162	12288	2.045413	1.840835	0.268102	1.743994	3.70246
math	163	12288	4.131671	3.17732	0.484316	2.178682	4.048153
math	164	12288	6.057918	2.608166	0.420045	1.487553	2.631095
math	165	12288	4.144112	2.978096	0.494619	1.641016	3.326695
math	166	12288	1.686952	1.494459	0.234073	1.278098	3.036013
math	167	12288	4.841958	3.212873	0.73191	2.436459	4.059147
math	168	12288	3.752834	2.476931	0.485763	2.247883	3.730449
math	169	12288	3.020361	2.311051	0.459178	1.890675	3.699409
math	170	12288	2.957273	2.329891	0.34076	1.649015	3.593302
math	171	12288	5.582048	3.609589	0.753822	1.877327	2.960653
math	172	12288	1.623387	1.404237	0.214138	1.329267	3.158651
math	173	12288	2.141849	1.96918	0.274196	1.572787	3.146935
math	174	12288	3.102538	2.615528	0.302692	1.917932	3.565399
math	175	12288	5.388639	4.186241	0.851906	2.143844	3.10716
math	176	12288	4.884443	3.897768	0.672639	2.317914	4.090589
math	177	12288	6.306399	4.252001	0.624597	1.927042	4.43882
math	178	12288	1.598589	1.562144	0.172742	1.426352	3.554817
math	179	12288	1.311692	1.221573	0.186855	1.177772	2.792749
math	180	12288	2.407709	2.06689	0.306926	1.680276	3.312994
math	181	12288	4.351068	3.244886	0.607585	2.02792	3.8332
math	182	12288	2.244639	2.056393	0.23493	1.522635	3.312042
math	183	12288	5.978101	2.393214	0.432498	1.885561	3.190621
math	184	12288	4.488797	3.059932	0.865621	2.033247	4.265008
math	185	12288	5.729917	2.57448	0.544001	1.882094	3.010883
math	186	12288	4.318864	3.054755	0.62089	2.541838	4.172265
math	187	12288	4.521553	3.186676	0.935612	2.320955	3.823271
math	188	12288	6.267062	3.927486	0.823868	1.874724	3.540177
math	189	12288	1.547168	1.337578	0.170089	1.310432	2.916316
math	190	12288	5.094707	3.535007	0.673967	3.231128	4.672802
math	191	12288	5.625365	4.104561	0.944656	2.036522	3.543067
math	192	12288	2.671789	1.99534	0.22675	1.30568	3.1355
math	193	12288	2.387426	1.742417	0.324109	1.660821	3.281637
math	194	12288	2.643075	1.769273	0.275731	1.57476	3.12268
math	195	12288	3.978395	3.307553	0.456687	2.535989	4.066912
math	196	12288	5.568998	3.537079	0.782973	1.914981	2.834918
math	197	12288	2.052554	1.741217	0.254554	1.553826	3.053687
math	198	12288	5.729686	2.776712	0.618536	2.615556	3.564737
math	199	12288	7.288333	3.286205	0.546797	1.64432	3.926684
legal	0	14336	1.345731	1.194433	1.929408	0.831746	2.595356
legal	1	14336	1.717364	1.383705	2.314532	0.566233	1.951133
legal	2	14336	1.310125	1.433097	2.437598	0.615171	2.078765
legal	3	14336	1.470618	1.510014	2.44103	0.67528	2.64128
legal	4	14336	1.240137	1.250611	2.104375	0.700776	2.704913
legal	5	14336	1.683743	1.592935	2.53945	0.918948	2.519479
legal	6	14336	1.4775	1.481171	2.49151	0.733535	2.576409
legal	7	14336	1.891358	1.749894	2.613671	1.27238	2.810194
legal	8	14336	1.51028	1.456695	2.377033	1.024796	3.008914
legal	9	14336	1.800376	1.550532	2.443673	0.722721	2.19282
legal	10	14336	1.308885	1.300968	2.29505	0.846681	2.428389
legal	11	14336	1.374257	1.333654	2.148386	0.68534	2.568866
legal	12	14336	2.027307	1.810832	2.60088	0.544327	1.841881
legal	13	14336	2.134159	1.578825	2.48335	1.199931	2.894989
legal	14	14336	1.948454	1.632863	2.224614	0.642712	2.043768
legal	15	14336	1.042725	1.173575	2.028351	0.788441	2.614289
legal	16	14336	1.514843	1.362077	2.363075	0.90824	2.88985
legal	17	14336	1.831717	1.442471	2.559597	0.749684	2.122275
legal	18	14336	1.815762	1.617176	3.052833	1.482816	3.252313
legal	19	14336	1.261383	1.341753	2.30079	0.979501	2.88087
legal	20	14336	1.288633	1.29976	2.078879	0.951676	2.734197
legal	21	14336	1.202199	1.245078	2.177691	0.771788	2.52106
legal	22	14336	1.465319	1.547214	2.541177	0.681536	2.480238
legal	23	14336	1.865128	1.678294	2.588142	1.090645	3.223816
legal	24	14336	1.322129	1.321667	2.123714	0.749378	2.624651
legal	25	14336	2.022346	1.66091	2.367347	0.720159	2.001199
legal	26	14336	2.053136	1.912229	2.747767	0.604473	1.952815
legal	27	14336	1.316519	1.316254	2.034731	0.707149	2.401181
legal	28	14336	1.558713	1.764097	2.760319	0.638426	2.268573
